title,address,bed,bath,toilet,pkn_space,price
5 bedroom detached duplex for sale,"Chevyview Estate, Off Chevron Drive, Lekki Phase 1, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"90,000,000"
5 bedroom detached duplex for sale,"Lekki County Homes, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"130,000,000"
4 bedroom terraced duplex for sale,"Eti Osa, Sangotedo, Ajah, Lagos",4Bedrooms,5Bathrooms,5Toilets,2Parking Spaces,"40,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"160,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"125,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"Ikate, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,8Parking Spaces,"180,000,000"
5 bedroom detached duplex for sale,"Mega Mound, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,8Parking Spaces,"185,000,000"
5 bedroom detached duplex for sale,"Oral Estate, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"120,000,000"
4 bedroom semi-detached duplex for sale,"Chevron Tollgate, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"65,000,000"
4 bedroom terraced duplex for sale,"Ilasan, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"60,000,000"
4 bedroom terraced duplex for sale,"Ilasan Beside World Oil, Ikate, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"70,000,000"
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"170,000,000"
5 bedroom detached duplex for sale,"Olokonla By Lagos Business School, Olokonla, Ajah, Lagos",5Bedrooms,5Bathrooms,6Toilets,10Parking Spaces,"56,000,000"
4 bedroom semi-detached duplex for sale,"Gated Estate By Chevron Tollgate Facing Expressway, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"70,000,000"
5 bedroom detached duplex for sale,"Gated Estate Facing Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"125,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"320,000,000"
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"160,000,000"
4 bedroom terraced duplex for sale,"Amore Street Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,Save,"140,000,000"
3 bedroom block of flats for sale,"Sangotedo, Ajah, Lagos",3Bedrooms,4Bathrooms,4Toilets,10Parking Spaces,"115,000,000"
4 bedroom terraced duplex for sale,"Chevron Conservation, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"57,000,000"
3 bedroom detached bungalow for sale,"Ajah, Lagos",3Bedrooms,3Bathrooms,4Toilets,3Parking Spaces,"45,000,000"
4 bedroom terraced duplex for sale,"Ajah, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"40,000,000"
5 bedroom detached duplex for sale,"Ajah, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"70,000,000"
4 bedroom terraced duplex for sale,"Orchid, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"52,000,000"
4 bedroom terraced duplex for sale,"Off Bisola Durosimi Etti Street, Lekki Phase 1, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"145,000,000"
4 bedroom detached duplex for sale,"Chevron Tollgate By Oceanbay, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,6Parking Spaces,"85,000,000"
5 bedroom detached duplex for sale,"Before Chevron, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"120,000,000"
4 bedroom terraced duplex for sale,"Chevron Conservation, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"40,000,000"
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"35,000,000"
4 bedroom terraced duplex for sale,"Chevron Area, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"70,000,000"
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"160,000,000"
4 bedroom terraced duplex for sale,"Royal Garden Estate, Ajiwe, Ajah, Lagos",4Bedrooms,5Bathrooms,5Toilets,3Parking Spaces,"108,000,000"
4 bedroom detached duplex for sale,"Oke-ira, Ogba, Ikeja, Lagos",4Bedrooms,620sqmCovered Area,Save,,"30,000,000"
4 bedroom terraced duplex for sale,"Awuse Estate, Opebi, Ikeja, Lagos",4Bedrooms,Save,,,"110,000,000"
6 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",6Bedrooms,6Bathrooms,6Toilets,Save,"450,000,000"
5 bedroom detached duplex for sale,"Orchid Road Opposite Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"225,000,000"
5 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"185,000,000"
4 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"135,000,000"
5 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"235,000,000"
4 bedroom terraced duplex for sale,"Omole Phase 1, Ikeja, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"80,000,000"
4 bedroom terraced duplex for sale,"Adeniyi Jones, Ikeja, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"80,000,000"
5 bedroom detached duplex for sale,"Ikeja GRA, Ikeja, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"200,000,000"
4 bedroom terraced duplex for sale,"Awuse Estate, Opebi, Ikeja, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"85,000,000"
5 bedroom detached duplex for sale,"Omole Phase 2, Ikeja, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"130,000,000"
5 bedroom detached duplex for sale,"Omole Phase 2, Ikeja, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"165,000,000"
4 bedroom terraced duplex for sale,"Adeniyi Jones, Ikeja, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"75,000,000"
5 bedroom detached duplex for sale,"Adeniyi Jones, Ikeja, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
5 bedroom detached duplex for sale,"Ikeja GRA, Ikeja, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"255,000,000"
