title,address,bed,bath,toilet,pkn_space,price
5 bedroom detached duplex for sale,"Orchid Road Opposite Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"140,000,000"
4 bedroom semi-detached duplex for sale,"Lekki, Lagos",4Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"47,000,000"
4 bedroom detached duplex for sale,"Phase 1, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"200,000,000"
5 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos",5Bedrooms,5Bathrooms,5Toilets,Save,"150,000,000"
5 bedroom detached duplex for sale,"Pinnock Beach Estate, Osapa, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,550sqmTotal Area,"400,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"120,000,000"
4 bedroom terraced duplex for sale,"Oniru, Victoria Island (VI), Lagos",4Bedrooms,Save,,,"120,000,000"
3 bedroom terraced duplex for sale,"Surulere, Lagos",3Bedrooms,3Bathrooms,3Toilets,Save,"55,000,000"
4 bedroom detached duplex for sale,"Chevron Alternative, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,4Parking Spaces,"120,000,000"
4 bedroom house for sale,"Ikate Elegushi, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"90,000,000"
5 bedroom detached duplex for sale,"Infinity Estate, Ado Road, Badore, Ajah, Lagos",5Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"75,000,000"
2 bedroom block of flats for sale,"Poka Village, Oasis Court, Epe, Lagos",2Bedrooms,2Bathrooms,3Toilets,2Parking Spaces,"15,000,000"
4 bedroom detached duplex for sale,"P&t Estate, Ipaja, Lagos",4Bedrooms,4Bathrooms,5Toilets,8Parking Spaces,"33,000,000"
2 bedroom house for sale,"Greenland Estate, Isheri - Igando Road Opposite Diamond Estate, Isheri, Lagos",2Bedrooms,4Bathrooms,4Toilets,10Parking Spaces,"25,000,000"
3 bedroom terraced duplex for sale,"Abraham Adesanya Urban Prime 3, Ajah, Lagos",3Bedrooms,Save,,,"65,000,000"
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"330,000,000"
5 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,6Parking Spaces,"450,000,000"
4 bedroom semi-detached duplex for sale,"Cooplag Gardens Estate, Lafiaji, Lekki, Lagos",4Bedrooms,5Bathrooms,6Toilets,4Parking Spaces,"55,000,000"
3 bedroom terraced duplex for sale,"Orchid Hotel Road, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,Save,"40,000,000"
5 bedroom detached duplex for sale,"Megamound Estate, Lekki County Estate, Ikota, Lekki, Lagos",5Bedrooms,6Toilets,Save,,"99,000,000"
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos",5Bedrooms,6Toilets,Save,,"120,000,000"
6 bedroom detached duplex for sale,"GRA Phase 1, Magodo, Lagos",6Bedrooms,646sqmTotal Area,Save,,"155,000,000"
5 bedroom detached duplex for sale,"Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,600sqmTotal Area,"550,000,000"
4 bedroom detached duplex for sale,"Thomas Estate, Ajah, Lagos",4Bedrooms,4Bathrooms,5Toilets,Save,"50,000,000"
5 bedroom detached duplex for sale,"Megamound Estate, Ikota, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"120,000,000"
5 bedroom detached duplex for sale,"Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,Save,"650,000,000"
4 bedroom terraced duplex for sale,"Banana Island, Ikoyi, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"300,000,000"
4 bedroom semi-detached duplex for sale,"Parkview, Ikoyi, Lagos",4Bedrooms,4Bathrooms,5Toilets,4Parking Spaces,"250,000,000"
