title,address,bed,bath,toilet,pkn_space,price
Block of flats for sale,"Ahmadu Bello Way, Victoria Island (VI), Lagos",3Bathrooms,4Toilets,2Parking Spaces,Save,"7,200,000"
4 bedroom semi-detached duplex for sale,"Lekky County Homes, Ikota, Lekki, Lagos",4Bedrooms,4Bathrooms,5Toilets,2Parking Spaces,"85,000,000"
5 bedroom detached duplex for sale,"Orchid, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"80,000,000"
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos",5Bedrooms,5Bathrooms,5Toilets,4Parking Spaces,"100,000,000"
3 bedroom terraced duplex for sale,"Mijl Residences & Villas,, Nicon Town, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,Save,"48,000,000"
6 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos",6Bedrooms,6Bathrooms,6Toilets,450sqmTotal Area,"350,000,000"
3 bedroom semi-detached duplex for sale,"Abijo, Lekki, Lagos",3Bedrooms,3Bathrooms,4Toilets,4Parking Spaces,"35,000,000"
4 bedroom semi-detached duplex for sale,"Orchid Road, Lekki, Lagos",4Bedrooms,Save,,,"53,000,000"
5 bedroom detached duplex for sale,"Royal Garden Estate, Lekki Expressway, Lekki, Lagos",5Bedrooms,5Bathrooms,5Toilets,6Parking Spaces,"125,000,000"
3 bedroom semi-detached duplex for sale,"Abraham Adesanyan, At Lekki Gardens Phase 2, Ajah, Lagos",3Bedrooms,4Bathrooms,4Toilets,Save,"26,000,000"
4 bedroom terraced duplex for sale,"Ikoyi, Lagos",4Bedrooms,3Bathrooms,5Toilets,Save,"160,000,000"
5 bedroom detached duplex for sale,"By Askamaya Hotel Opp Mega Chicken, Lekki, Lagos",5Bedrooms,5Bathrooms,6Toilets,7Parking Spaces,"43,000,000"
4 bedroom terraced duplex for sale,"Onigbongbo, Maryland, Lagos",4Bedrooms,4Bathrooms,5Toilets,3Parking Spaces,"90,000,000"
5 bedroom semi-detached duplex for sale,"Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,5Parking Spaces,"480,000,000"
3 bedroom house for sale,"Idado Estate Before Chevron, Idado, Lekki, Lagos",3Bedrooms,4Bathrooms,4Toilets,3Parking Spaces,"45,000,000"
4 bedroom house for sale,"Oniru, Victoria Island (VI), Lagos",4Bedrooms,5Toilets,Save,,"145,000,000"
5 bedroom detached duplex for sale,"United Estate Beside Slot Complex, Sangotedo, Ajah, Lagos",5Bedrooms,5Bathrooms,5Toilets,5Parking Spaces,"60,000,000"
Block of flats for sale,"Lekki, Lagos",,Save,,,"450,000,000"
3 bedroom detached bungalow for sale,"Ocean View Estate, Behind The Shoprite/ Novare Mall, Odusanya Mopo, Sangotedo, Ajah, Lagos",3Bedrooms,3Bathrooms,4Toilets,3Parking Spaces,"15,000,000"
5 bedroom detached duplex for sale,"Bourdilon Road, Ikoyi, Lagos",5Bedrooms,6Bathrooms,6Toilets,9Parking Spaces,"650,000,000"
3 bedroom detached bungalow for sale,"Gra, Abijo, Lekki, Lagos",3Bedrooms,Save,,,"35,000,000"
4 bedroom semi-detached duplex for sale,"Ologolo, Lekki, Lagos",4Bedrooms,4Bathrooms,4Toilets,Save,"62,000,000"
4 bedroom semi-detached duplex for sale,"Sangotedo, Ajah, Lagos",4Bedrooms,5Bathrooms,5Toilets,2Parking Spaces,"45,000,000"
3 bedroom detached bungalow for sale,"Chois Estate, Abijo, Lekki, Lagos",3Bedrooms,3Bathrooms,3Toilets,2Parking Spaces,"35,000,000"
3 bedroom terraced duplex for sale,"Chris Estate, Abijo, Lekki, Lagos",3Bedrooms,3Bathrooms,3Toilets,2Parking Spaces,"32,500,000"
2 bedroom block of flats for sale,"Amen Estate Phase 2, Eleko, Ibeju Lekki, Lagos",2Bedrooms,2Bathrooms,3Toilets,250sqmTotal Area,"25,000,000"
5 bedroom block of flats for sale,"Igbo Agbowa Oluodo Extension Ebute, Ikorodu, Lagos",5Bedrooms,4Bathrooms,4Toilets,9Parking Spaces,"12,500,000"
3 bedroom block of flats for sale,"Lekki Right Side, Lekki Phase 1, Lekki, Lagos",3Bedrooms,Save,,,"648,000,000"
3 bedroom terraced duplex for sale,"Amity Estate, Abijo, Lekki, Lagos",3Bedrooms,4Bathrooms,4Toilets,8Parking Spaces,"24,000,000"
3 bedroom detached bungalow for sale,"Thomas Estate, Ajah, Lagos",3Bedrooms,3Bathrooms,4Toilets,5Parking Spaces,"39,000,000"
5 bedroom detached duplex for sale,"Ikoyi, Lagos",5Bedrooms,5Bathrooms,6Toilets,7Parking Spaces,"500,000,000"
4 bedroom detached bungalow for sale,"Behind Jakande Estate, Oke Afa, Isolo, Lagos",4Bedrooms,4Bathrooms,4Toilets,Save,"25,000,000"
5 bedroom detached duplex for sale,"Shangisha, GRA Phase 2, Magodo, Lagos",5Bedrooms,5Bathrooms,6Toilets,3Parking Spaces,"170,000,000"
5 bedroom semi-detached duplex for sale,"Shangisha Phase 2, GRA Phase 1, Magodo, Lagos",5Bedrooms,5Bathrooms,6Toilets,2Parking Spaces,"100,000,000"
4 bedroom semi-detached duplex for sale,"Lekki Phase 2, Lekki, Lagos",4Bedrooms,5Bathrooms,5Toilets,Save,"60,000,000"
